species	proteome_id	tax_id	superregnum	uniprot_fasta_file	count	mean	var	log10_mean	log10_var	division_both_dbs
Halorubrum saccharovorum	UP000053331	2248	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000053331/UP000053331_2248.fasta.gz	2334.0	250.64181662382177	28808.60804059045	2.310022994917688	0.078738813903633	archaea
Pyrodictium occultum	UP000053352	2309	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000053352/UP000053352_2309.fasta.gz	1602.0	285.0923845193508	34816.34873647166	2.3728516871317145	0.0731364680550255	archaea
Halorubrum distributum	UP000216287	29283	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000216287/UP000216287_29283.fasta.gz	2492.0	213.7475922953451	22550.40394843588	2.2400535169315337	0.0782964372721362	archaea
halophilic archaeon	UP000252983	29295	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000252983/UP000252983_29295.fasta.gz	5207.0	281.93988861148455	36425.644292188896	2.355699681254994	0.0865832301226551	archaea
Natrialba asiatica (strain ATCC 700177 / DSM 12278 / JCM 9576 / FERM P-10747 / NBRC 102637 / 172P1)	UP000011554	29540	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000011554/UP000011554_29540.fasta.gz	4175.0	289.691497005988	37448.980030700455	2.367256255849337	0.0887496170992591	archaea
Acidianus brierleyi	UP000248044	41673	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000248044/UP000248044_41673.fasta.gz	2858.0	276.56892932120365	31580.540049325777	2.3578626966072727	0.0761241881384214	archaea
Halobaculum gomorrense	UP000184357	43928	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000184357/UP000184357_43928.fasta.gz	3149.0	293.04604636392503	42388.43275834728	2.3661461481296	0.0945365930430537	archaea
Methanobrevibacter cuticularis	UP000077275	47311	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000077275/UP000077275_47311.fasta.gz	2061.0	286.40950994662785	62398.55455029371	2.329979019974042	0.112414760204094	archaea
Methanobrevibacter curvatus	UP000077245	49547	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000077245/UP000077245_49547.fasta.gz	1968.0	287.8450203252033	52577.56264931327	2.345963124646967	0.1018468728941451	archaea
Methanobrevibacter filiformis	UP000077066	55758	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000077066/UP000077066_55758.fasta.gz	1920.0	315.0677083333333	128130.58426155116	2.3604991852554007	0.1119657790728971	archaea
