genes_species	genes_mean	genes_var	tax_id	prots_superregnum	prots_mean	prots_var	merged_division_superregnum
archangium_gephyra_gca_001027285	1103.8710346872222	1270278.344208368	48	bacteria	367.4997032640949	141204.77905817688	bacteria
chondromyces_crocatus_gca_001189295	1211.514450173882	1105460.055290088	52	bacteria	403.46655458148194	122906.02791682092	bacteria
nannocystis_exedens_gca_900112715	1078.663862792222	667147.3814821165	54	bacteria	358.9851252324182	74145.72303402227	bacteria
lysobacter_enzymogenes_gca_001442515	955.797069994574	1206769.312285191	69	bacteria	318.11751904243744	134350.40809861428	bacteria
stella_humosa_gca_003751345	998.7707488011804	366719.7439661981	94	bacteria	332.25746956842494	40746.23806907996	bacteria
polaribacter_glomeratus_gca_002954665	1043.186108637578	574317.1057927209	102	bacteria	347.1475653206651	63811.80625483683	bacteria
treponema_bryantii_gca_900111035	1051.6475785340317	740421.1926160656	163	bacteria	350.28679121599475	82306.51411727411	bacteria
azospirillum_lipoferum_gca_900177475	1024.502474134053	672960.941393098	193	bacteria	341.2577818071925	75131.18365184177	bacteria
helicobacter_sp_clo_3_gca_001677375	963.638136511376	464404.7426965798	211	bacteria	320.5465872156013	51601.03278780459	bacteria
elizabethkingia_meningoseptica_gca_002002525	998.2192729371033	449234.8252099763	238	bacteria	332.07386035776113	49914.9601996388	bacteria
hydrogenophilus_thermoluteolus_gca_003574215	1002.9888268156424	430218.6789622	297	bacteria	333.40130963517305	48006.98721400703	bacteria
pelomonas_saccharophila_gca_004342485	1002.2411104772772	511331.7988345218	304	bacteria	333.8259710586443	56763.48408637356	bacteria
methylobacterium_sp__gca_002727035	920.068796457378	414838.195677561	409	bacteria	213.49300530631933	16444.858547077973	bacteria
tatlockia_micdadei_gca_000953635	991.5226817878586	682235.2946138267	451	bacteria	329.6182669789227	76015.4047666074	bacteria
legionella_spiritensis_gca_001468165	1010.7146785837058	657836.9962803386	452	bacteria	336.3318431911967	73092.91873798435	bacteria
legionella_feeleii_gca_001467625	942.1280171096852	493928.1312227479	453	bacteria	313.3782462572564	54880.13072467406	bacteria
legionella_israelensis_gca_001467785	935.7242112725984	473674.4565377198	454	bacteria	311.2463665366891	52629.04389193512	bacteria
legionella_jordanis_gca_001467765	996.383566559024	562227.394460642	456	bacteria	331.4617868675996	62469.67432889499	bacteria
legionella_rubrilucens_gca_001468125	1008.6522655426764	560389.2388414924	458	bacteria	335.5518089216719	62265.52147160367	bacteria
